文件名,问题描述,原文,译文
adv_cidol-fktn-3-007_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『少人数に向けたファンサ』を、,把「小规模粉丝互动」的技巧
adv_cidol-fktn-3-007_02.txt,应使用日式引号'『』'保持一致,『あっ、いま目が合った！　,就是让更多人感受到
adv_cidol-fktn-3-007_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,たとえるなら『もらい泣き』が,就像「被感染的哭泣」
adv_cidol-fktn-3-007_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,会場のあのへんに……『あの人』に、,比如在会场的那个区域……对那个人
adv_cidol-fktn-3-007_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『カメラを意識したファンサ』――,「镜头意识下的互动技巧」——
adv_cidol-fktn-3-007_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,きっと『N.I.A』でも役立つわ。,对「N.I.A」活动也很有帮助哦。
adv_cidol-fktn-3-007_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,ことねちゃんに『特別なファンサ』を,我正在教琴音
adv_cidol-fktn-3-007_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『特別なファンサ』というのはね～。,"所谓的""特别粉丝服务""呢——"
adv_cidol-fktn-3-007_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,これが『特別なファンサ』です。,"这就是""特别粉丝服务""。"
adv_cidol-fktn-3-007_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『特別なファンサ』が。,"""特别粉丝服务""。"
adv_cidol-fktn-3-007_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『特別なファンサ』とは、すなわち,"""特别粉丝服务""就是"
adv_cidol-fktn-3-007_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,さすがに『N.I.A』の期間中には,"不过在""N.I.A""活动期间内"
adv_cidol-fktn-3-007_03.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』ッ！！,『Campus mode!!』！！
adv_cidol-fktn-3-011_01.txt,应使用日式引号'『』'保持一致,あたしが夏の『H.I.F』に,梦见自己参加了夏季的
adv_cidol-fktn-3-011_01.txt,应使用日式引号'『』'保持一致,この勢いで、リアルの『H.I.F』にも,要是能带着这股劲
adv_cidol-fktn-3-011_01.txt,应使用日式引号'『』'保持一致,はい！　3人で『H.I.F』に,没错！我们三个人
adv_cidol-fktn-3-011_01.txt,应使用日式引号'『』'保持一致,ようやく……『一番星』に手が届く,好不容易……才终于
adv_cidol-hrnm-3-000_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,この『clumsy trick』は、,这首《clumsy trick》
adv_cidol-hrnm-3-007_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,曲と衣装で、『N.I.A』に,的歌曲和服装
adv_cidol-hrnm-3-007_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,でも、『Campus mode!!』の,但是既然要穿上
adv_cidol-hrnm-3-007_02.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』を,承载着『Campus mode!!』
adv_cidol-hrnm-3-007_03.txt,应使用书名号'《》'代替日式引号'『』',憧れの『Campus mode!!』の,穿上憧憬的『Campus mode!!』
adv_cidol-hrnm-3-007_03.txt,应使用书名号'《》'代替日式引号'『』',それより、『Campus mode!!』の,比起这个，『Campus mode!!』的
adv_cidol-hrnm-3-007_03.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』の衣装を,『Campus mode!!』服装
adv_cidol-hrnm-3-007_03.txt,应使用书名号'《》'代替日式引号'『』',私だけの『Campus mode!!』。,只属于我的『Campus mode!!』。
adv_cidol-hrnm-3-008_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,（……『アイドル育成論』,（……《偶像培育论》
adv_cidol-hrnm-3-008_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『表現の基本』『ポーズの基本』）,《表现基础》《姿势基础》）
adv_cidol-hrnm-3-008_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,（『実践プロデュース論・上』,（《实践制作论·上》
adv_cidol-hrnm-3-008_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『アイドル序説』『アイドルの歴史』）,《偶像概论》《偶像历史》）
adv_cidol-hski-3-002_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『夏休みの休養計画』で勝負よ！,"就用""暑假休息计划""来一决胜负吧！"
adv_cidol-hski-3-008_02.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』花海咲季の,这是『Campus mode!!』花海咲季的
adv_cidol-hski-3-008_02.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』を身にまとった,只要穿上『Campus mode!!』这身行头，
adv_cidol-hski-3-008_02.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』の,因为『Campus mode!!』的
adv_cidol-hski-3-008_02.txt,应使用书名号'《》'代替日式引号'『』',花海咲季の『Campus mode!!』で――,要用花海咲季的『Campus mode!!』——
adv_cidol-hski-3-008_02.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』だった子も、,穿着『Campus mode!!』表演的
adv_cidol-hski-3-012_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『花海咲季を選んだ俺』が、最強です。,「选中花海咲季的我」，是最强的。
adv_cidol-hski-3-012_03.txt,应使用日式引号'『』'保持一致,『あなたにプロデュースされている,「被你培育的我」
adv_cidol-hski-3-012_03.txt,应使用日式引号'『』'保持一致,わたし』こそが、最強よ。,才是最强的。
adv_cidol-hume-3-000_02.txt,应使用日式引号'『』'保持一致,あ！『こいつ、またいつものごり押し,啊！您脸上写着
adv_cidol-hume-3-000_02.txt,应使用日式引号'『』'保持一致,かよ』って、呆れた顔をしてますね！,"""这家伙又要蛮干了吗""的无奈表情呢！"
adv_cidol-hume-3-000_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『会場の全員と共鳴する』――,"""与全场观众共鸣""——"
adv_cidol-hume-3-006_01.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』を,将『Campus mode!!』
adv_cidol-hume-3-006_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,咲季が『絶対負けられない勝負』で,"还有咲季在""绝对不能输的比赛""中"
adv_cidol-hume-3-006_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,恐るべき力です。もしも『N.I.A』の,这可是很可怕的力量呢。如果
adv_cidol-hume-3-006_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『Campus mode!!』を,演唱
adv_cidol-hume-3-006_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『FINALE』に届かなかった,还有那些没能站上《FINALE》舞台的
adv_cidol-hume-3-006_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『ファンへの想い』などという,"所谓""对粉丝的感情""这种"
adv_cidol-hume-3-006_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『ファンは自分の一部』――,"""粉丝是自己的一部分""——"
adv_cidol-hume-3-006_03.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』,『Campus mode!!』
adv_cidol-jsna-3-000_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,ちっとも『最後の歌』じゃないわね。,"完全不像""最后的歌""呢。"
adv_cidol-jsna-3-000_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『上』ばかりが気になるようだな。,"眼里只有""上面""啊。"
adv_cidol-jsna-3-000_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,もっと『下』にも,偶尔也该看看
adv_cidol-jsna-3-000_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『夢』などという曖昧なものを,既然是处理「梦想」这种
adv_cidol-jsna-3-002_01.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』を,『Campus mode!!』作为
adv_cidol-jsna-3-002_01.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』は、,『Campus mode!!』是
adv_cidol-jsna-3-002_01.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』を歌い、,演唱这首『Campus mode!!』，
adv_cidol-jsna-3-002_01.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』を歌う,演唱『Campus mode!!』
adv_cidol-jsna-3-002_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,あの子にも『Campus mode!!』を,我打算让那孩子也学会
adv_cidol-jsna-3-002_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『ファンサ』について,好好聊聊关于
adv_cidol-jsna-3-002_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,藤田ことねが持つ、あの『熱』を、,哪怕只是触摸到藤田琴音身上
adv_cidol-jsna-3-002_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『家族の応援』の力を。,"""家人的应援""的力量。"
adv_cidol-jsna-3-002_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,コレではなく『Campus mode!!』,"说""不要这个版本，"
adv_cidol-jsna-3-003_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,なにが『というわけで』なのか、,"什么叫""就是这样"""
adv_cidol-jsna-3-003_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,とっても可愛い『素』の燕ちゃんを、,都说想看看燕酱
adv_cidol-jsna-3-006_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『お返し』のサインをお願いします。,"请回赠您的签名作为""回礼""吧。"""
adv_cidol-jsna-3-006_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,私が『誰』に向けて、,"我该向着""谁""，"
adv_cidol-kcna-3-007_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,新たな『Campus mode!!』に,有新的初星偶像要穿上
adv_cidol-kcna-3-007_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『Campus mode!!』です。,是专为仓本千奈准备的。
adv_cidol-kcna-3-007_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『Campus mode!!』の,看来可以期待您
adv_cidol-kcna-3-007_02.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』……,『Campus mode!!』……
adv_cidol-kcna-3-007_02.txt,应使用书名号'《》'代替日式引号'『』',あなたが『Campus mode!!』の,听说你在为掌握『Campus mode!!』
adv_cidol-kcna-3-007_02.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』には……,『Campus mode!!』这首歌……
adv_cidol-kcna-3-007_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『Campus mode!!』をステージで,曾经在舞台上表演过
adv_cidol-kcna-3-007_02.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』は、,所有公开的『Campus mode!!』
adv_cidol-kcna-3-007_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『Campus mode!!』を授かる方が,就获得演唱
adv_cidol-kcna-3-007_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,月村手毬の『Campus mode!!』を,亲眼看看月村手毬的
adv_cidol-kcna-3-007_02.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』には、,『Campus mode!!』这首歌里
adv_cidol-kcna-3-007_02.txt,应使用书名号'《》'代替日式引号'『』',あなたの『Campus mode!!』、,你的『Campus mode!!』表演，
adv_cidol-kcna-3-007_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『Campus mode!!』を、,仓本千奈的
adv_cidol-kcna-3-007_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『Campus mode!!』の習得、,成功掌握『校园模式！！』
adv_cidol-kcna-3-007_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『Campus mode!!』にも、,『校园模式！！』
adv_cidol-kcna-3-007_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『Campus mode!!』を！,『校园模式！！』！
adv_cidol-kllj-3-000_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,――曲名は『白線』。,——歌名叫《白线》。
adv_cidol-kllj-3-005_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『ふわっとブレザーつむじちゃん』って,《轻飘飘西服旋涡酱》这部
adv_cidol-kllj-3-005_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『ふわっとブレザーつむじちゃん』、,《轻飘飘西装小旋君》
adv_cidol-kllj-3-006_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『ふわっとブレザーつむじちゃん』の,《轻飘飘西装领小呆毛》的
adv_cidol-kllj-3-006_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,葛城さんの『Campus mode!!』を,是时候向大家展示
adv_cidol-shro-3-001_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,この『おじいちゃん』というファイル。,"这个标着""老爷爷""的档案……"
adv_cidol-shro-3-007_01.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』を,『Campus mode!!』
adv_cidol-shro-3-007_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,わたしは『Campus mode!!』、,我不会唱也不会跳
adv_cidol-shro-3-007_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『Campus mode!!』習得のための,我准备了特训方案
adv_cidol-shro-3-007_02.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』篠澤広。,『Campus mode!!』篠泽广。
adv_cidol-shro-3-007_02.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』の,留到『Campus mode!!』的
adv_cidol-shro-3-007_02.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』篠澤広の,『Campus mode!!』篠泽广的
adv_cidol-shro-3-007_02.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』の篠澤広を、,帮『Campus mode!!』的篠泽广
adv_cidol-shro-3-007_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,篠澤広の『Campus mode!!』を、,大家都一直很期待
adv_cidol-shro-3-007_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,アイドル『篠澤広』の振り付けを,"愿意为偶像""篠泽广"""
adv_cidol-shro-3-007_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『初星学園のアイドル』のための楽曲。,"为""初星学园偶像""创作的歌曲。"
adv_cidol-shro-3-008_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,ふむ、『一刻も早く』……でしたね。,"嗯，""分秒必争""……是吧。"
adv_cidol-shro-3-008_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,あなたが『本当に作りたいもの』……,你「真正想做的东西」……
adv_cidol-ssmk-3-007_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『Campus mode!!』を、,我演唱的
adv_cidol-ssmk-3-007_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,最強のアイドル『紫雲清夏』を、,告诉她根本不需要担心
adv_cidol-ttmr-3-007_02.txt,应使用全角感叹号'！'而非半角'!',『SyngUp!』を結成する,在组建『SyngUp!』
adv_cidol-ttmr-3-007_02.txt,应使用全角感叹号'！'而非半角'!',『SyngUp!』の元リーダー。,『SyngUp!』的前任队长。
adv_cidol-ttmr-3-007_02.txt,应使用全角感叹号'！'而非半角'!',結成当時の『SyngUp!』なんて、,刚成立时的『SyngUp!』
adv_cidol-ttmr-3-007_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,切実な訴えは、『燐羽様』を慕う,"这番恳切的请求，和崇拜""燐羽大人""的"
adv_cidol-ttmr-3-007_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『燐羽様』ファンの皆さんは、,"听说""燐羽大人""的粉丝们"
adv_cidol-ttmr-3-009_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『SyngUp!』の出会いでした。,相遇的经过。
adv_cidol-ttmr-3-009_02.txt,应使用全角感叹号'！'而非半角'!',『SyngUp!』の出会いでした。,『SyngUp!』的初次相遇。
adv_cidol-ttmr-3-009_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,えっ『ちくわぶ』知らないの？　,结果她一脸惊讶地说
adv_cidol-ttmr-3-009_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『うどん』や『すいとん』に,"虽然有人说它像""乌冬面"""
adv_cidol-ttmr-3-009_03.txt,应使用全角感叹号'！'而非半角'!'; 应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『SyngUp!の出会い』,从《SyngUp!的相遇》
adv_cidol-ttmr-3-009_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『夢のはじまり』,到《梦想的起点》……
adv_cidol-ttmr-3-009_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『ちくわぶとの出会い』より,"比""竹轮麸的邂逅"""
adv_cidol-ttmr-3-011_01.txt,应使用全角感叹号'！'而非半角'!',『SyngUp!』を再結成するとか、,是要重组『SyngUp!』，
adv_cidol-ttmr-3-011_03.txt,应使用全角感叹号'！'而非半角'!',『SyngUp!』恒例のファンサです。,是『SyngUp!』传统的粉丝服务。
adv_csprt-2-0003_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『ローゼンヌの薔薇』を観て感動して、,《罗森努的蔷薇》时很感动，
adv_csprt-2-0031_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,（……たぶん、『愛情』とか,（……大概是指
adv_csprt-3-0006_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,ふふ……また『姫崎先輩』に、,呵呵……又变成
adv_csprt-3-0006_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,はいっ！　『そんなに』なのですわっ！,是的！就是「这种程度」！
adv_csprt-3-0006_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『そうではない』とおっしゃる方が、,如果有人敢说
adv_csprt-3-0011_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,いまの成績は関係ない。私が『視』て、,现有成绩无关紧要。我只是用这双眼睛，
adv_csprt-3-0015_03.txt,省略号应使用'……'而非'...',H.I.Fに出場してもらうつもりよ。,以个人偶像身份参加H.I.F。
adv_csprt-3-0018_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『絶対全員参加させるぞー』って、,清夏可是干劲十足地说
adv_csprt-3-0020_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,おいて『プロデューサー』は、,"""制作人""这个头衔"
adv_csprt-3-0025_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,佑芽が『なんで？』って言う気持ち、,现在能理解佑芽
adv_csprt-3-0027_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,ふたりとの『今日』とは、,和今天与你们共度的时光
adv_csprt-3-0032_01.txt,应使用全角感叹号'！'而非半角'!',『SyngUp!』で一番素行が悪いんです。,是『SyngUp!』里品行最差的一个哦。
adv_csprt-3-0032_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,佑芽の『頼れる先輩』でいるのは……,"要当佑芽眼中""可靠的学姐""……"
adv_csprt-3-0032_03.txt,省略号应使用'……'而非'...',倉本千奈を、今夏のH.I.Fで,命令仓本千奈在今年夏天的H.I.F上
adv_csprt-3-0044_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,歌うアイドルには『覚悟』が必要。,作为演唱偶像需要「觉悟」。
adv_csprt-3-0044_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『覚悟』……！,「觉悟」……！
adv_csprt-3-0044_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,（『Campus mode!!』が,（看来她们终于理解
adv_csprt-3-0045_03.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』って、,『Campus mode!!』这首曲子
adv_csprt-3-0046_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,私達に『Campus mode!!』の,能请您指导我们练习
adv_csprt-3-0046_02.txt,应使用日式引号'『』'保持一致,『一番星』になったあなたも,虽然我也很想看看
adv_csprt-3-0046_03.txt,应使用日式引号'『』'保持一致,『下級生に教えるんだから,「既然要教导后辈
adv_csprt-3-0046_03.txt,应使用日式引号'『』'保持一致,ちゃんと指摘できないとダメ』でしょ？,就必须好好指出问题」对吧？
adv_csprt-3-0047_01.txt,省略号应使用'……'而非'...',用意してるんですけど……,但是......
adv_csprt-3-0047_03.txt,省略号应使用'……'而非'...',味を変えるのも大変なのに……！,要调整口味应该很费功夫吧...！
adv_csprt-3-0050_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『わたしたち、友達？』って。,那句「我们算是朋友吗？」。
adv_csprt-3-0050_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『わたしたち、友達？』って。,那句「我们算是朋友吗？」。
adv_csprt-3-0051_03.txt,应使用日式引号'『』'保持一致,まあ、すぐに『一番星』に,嘛，我倒没指望
adv_dear_amao_003.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,そう簡単に、『可愛い』ボクを、,要让我立刻接受
adv_dear_amao_004.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,あなたの『カッコイイ』も――,"你的那份""帅气""——"
adv_dear_amao_006.txt,应使用日式引号'『』'保持一致,『キラキラ★アゲアゲ♪,《闪亮升级♪
adv_dear_amao_006.txt,应使用日式引号'『』'保持一致,　イケてるギャル嬢の盛り髪特集』,超in辣妹炸街发型特辑》
adv_dear_amao_008.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,ここは、全力で『可愛い』を演じて、,"这里是全力演绎""可爱""，"
adv_dear_amao_011.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,キミと一緒に、『FINALE』まで,我要和你一起
adv_dear_amao_011.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『プリンス麻央イリュージョン』,我将其命名为
adv_dear_amao_012.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,あたし、『NEXT IDOL AUDITION』に,我决定参加
adv_dear_amao_012.txt,句末应使用句号'。'而非英文句点'.',『N.I.A』は一度経験してるからね。,我参加过《N.I.A》
adv_dear_amao_012.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,……あたしも『N.I.A』で競い合う,……前辈该不会忘了
adv_dear_amao_015.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,いよいよ『QUARTET』ですね。,终于要迎来《QUARTET》了呢。
adv_dear_amao_016.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,麻央さん。『QUARTET』トップ合格、,麻央小姐。恭喜你以第一名成绩
adv_dear_amao_017.txt,应使用日式引号'『』'保持一致,次の『H.I.F』は――,下次的《H.I.F》——
adv_dear_amao_018.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,次の『FINALE』でお前と戦うのは、,在下届《FINALE》舞台上与你对决的
